country_code,year,debt_to_gdp,current_account_pct_gdp,reserves_months_imports,gdp_growth,inflation,currency_depreciation_pct,political_stability,government_effectiveness,rule_of_law,regulatory_quality,control_of_corruption
EGY,2014,,52.939547898521035,93.94511503142981,22.046592219197514,26.403624291553307,9.203997021936715,72.46194961211006,56.88053635651453,56.016544837947436,57.578128810932974,58.88535053338509
ERI,2014,,,,,,2.131561894192694,49.163295292185175,73.58691235499568,82.52929735873715,94.43495029913451,78.26476891658689
ETH,2014,0.0,65.64362980448342,93.68021377048987,0.0,17.68223625442806,14.202433207508674,63.42324462428025,51.56280114029765,53.28208773872139,62.70802276004266,57.70912772178114
IND,2014,39.55035589911105,52.02177155204561,80.77576550380975,8.550269700132802,17.06694240293493,11.859128488021701,53.66711571222487,39.47082363655822,34.66765013918483,46.11585036545175,53.15128905875589
IRN,2014,,,,15.833845602258867,44.328915328394,97.95176248161816,51.196321609233294,46.20734831751311,69.16307540205125,75.3087692674828,67.38568658745564
IRQ,2014,,39.54172989557062,66.586722884907,24.00520438957572,4.918954745815695,2.131561894192694,92.69936274880693,65.63170585082361,75.53462936844289,67.98304258343106,86.49382738469549
ISR,2014,,44.77940981150972,70.73241505862781,19.637507922571924,0.06923806486864141,0.0,47.550932592946374,3.171561984937915,0.0,1.104391833457987,12.132461727940857
JOR,2014,75.27689542998559,59.69950343242528,78.590878651405,20.824496878548214,6.7385546706936195,2.131561894192694,48.01679969546224,28.58276673167938,25.87742268630267,30.72773112445247,35.197147658268726
KWT,2014,,0.0,76.48025809248477,29.298771024687287,6.7644640397061,2.939721151125335,29.125487851964404,35.2076047751484,28.922355205746936,36.10493208954096,48.12795641638584
LBN,2014,,89.53317159476597,50.27695094012935,23.343432761775603,3.8730837890297827,2.131561894192694,72.07209469371847,46.459851954804705,51.42651339545819,48.04684826899191,77.60150421073675
LBY,2014,,100.0,14.450752239163881,100.0,5.459119126138725,2.26248260547365,93.01031130781719,82.34668842175508,79.94962664656869,95.72585647229451,90.64755674399233
LKA,2014,71.74040207584675,53.63266885194315,88.80404938362932,11.650087857320203,7.505120822742188,4.847942147691193,46.49503419311817,35.240636673198864,40.83981433234783,34.24398522554131,54.429640650915175
MAR,2014,,58.34892107530111,86.84423777381957,22.637180914992623,0.0,2.154786240682804,42.578027508415786,46.542974270186406,41.21918223683682,32.454816825929434,53.24341906919524
MDV,2014,,54.80554668978102,93.47677197636406,7.197552630719804,4.600911569993108,2.3402978704798683,18.392695721251354,43.844539070415074,47.19839236512155,42.378885251858385,58.877008803263664
NPL,2014,,46.71314598627559,75.26474214796424,12.750666733941667,21.724913221604847,13.389415602981858,54.37587341589438,63.818880605496254,47.66940577001791,56.76198237754069,68.3061104745387
OMN,2014,,43.025393044405476,87.01188785165779,26.92240308386722,1.567846558097634,2.131561894192694,15.9662735371181,35.26702795310912,22.944598812763832,9.438652535084715,38.113845431238786
PAK,2014,,52.03437729297779,91.37488460224533,18.441470539594356,18.503215249688978,0.9118297339972998,98.3609239272692,57.935268082720725,60.165305856405915,57.76686186144829,74.01133804001026
PSE,2014,,70.47940887026529,97.31185719688796,31.277075557134538,3.5395548199799136,,76.92433848665011,46.605045411887865,53.45520892678355,38.61199289898435,53.82712818963877
QAT,2014,,13.894865559980232,81.2955404634915,18.433401220065846,7.97330044222294,2.131561894192694,1.4031179045149362,11.955509349493331,10.622643381057657,11.80882839612597,8.077928647716545
SAU,2014,,35.13617136042607,0.0,18.717013375962004,4.935078470844347,2.131561894192694,39.83784683361474,37.019378014026096,43.18615261066156,27.873064891934686,47.38923102780201
SDN,2014,,60.79383856932395,100.0,16.804994620548555,100.0,50.43112532558727,91.87957741671539,75.2514405861548,74.92896016815948,79.41496272581684,93.15139717266612
SOM,2014,,,,3.842268998945192,,13.644813455791574,97.67672730901407,100.0,100.0,100.0,100.0
SSD,2014,,58.53221457868846,97.7291334757576,20.672020178561247,3.3786138866868223,2.131561894192694,99.4731405318024,89.63080316854402,82.60285826530549,86.93560949396468,99.234511118968
SYR,2014,,,,61.764713586016974,28.753588345360754,100.0,95.3052401040403,67.1614253919787,82.18386261333592,85.92721493821193,92.60488135717331
TUN,2014,,63.38268927956363,91.2336821899958,21.522824696046367,11.472144499219421,12.666727201646824,47.79245899130315,39.42387543271704,34.2445529900136,45.244702091004996,38.08342161163864
TUR,2014,7.205071811617378,55.13831332407159,84.17556836020945,16.986930134020795,23.0698384685335,37.19608358838985,53.18586192398046,25.863490207283373,40.85834233128974,22.350164357342646,42.37313071137802
YEM,2014,,55.19149789883001,91.35457326044806,31.36963806323303,21.01345399305545,2.131561894192694,100.0,78.23844584905866,73.52825294968878,64.13840026449566,91.58129348117988
AFG,2015,,94.22247578386832,77.7392795817901,23.431197707199694,5.462992298716211,12.801277752281145,98.75421472977295,83.50186706036241,82.9236109345098,69.84353327205915,91.1840265440534
ARE,2015,,,,8.77485296629843,13.835345521383886,0.1697024820754555,4.539199998955546,1.6881467269370005,21.31631995114855,0.0,5.576605859940133
BGD,2015,,51.60800639582921,84.56466655607866,10.166095247076983,17.59416400632925,0.9000292002269157,66.12546053405947,60.26919052620487,58.640993742067,60.81356392020062,75.75326383241199
BHR,2015,62.18290150176895,58.273890367156625,96.66575126954815,20.68380532140077,9.904849257057217,0.1697024820754555,55.533284313390354,28.894407008260742,31.794608734037862,13.73892893584315,36.50553366653783
BTN,2015,100.0,100.0,78.12028686701201,9.884840449285894,14.681446277965774,9.665953269757372,0.0,31.255932688909233,16.181946180287163,49.144898948454895,0.0
DJI,2015,,0.0,97.0905650280602,8.199350621818525,5.70990279822194,0.1697024820754555,42.328217592237245,63.04998066056169,63.147775844854,59.33901628161511,63.46802404896842
DZA,2015,,80.48119561472049,40.383859310711145,18.88404785503052,15.099567249836026,46.497502088900355,58.121351691393976,51.757245417486445,59.274617063404946,64.97846893136264,59.966518137178994
EGY,2015,,63.63452715805139,94.39618632050265,15.83641758685551,24.983662306332295,16.262569298094885,71.40971750032142,56.483865035334134,58.06064796456577,59.55604353257549,57.65114257163958
ERI,2015,,,,,,0.1697024820754555,50.734199334668936,77.89755592352925,83.25156663078059,95.25388860963618,85.30250447211527
ETH,2015,1.0272974558143788,76.37884338043193,95.12892798309696,0.18130793089794908,23.565306051930563,9.561694785709268,64.19286720375916,56.71663828802449,57.04227190872129,64.73402018306786,56.094886918438824
IND,2015,42.06743748034004,55.99047306122606,81.84271851583183,6.412230206205017,15.316368812394032,9.665953269757372,49.95562575938518,30.347367498811224,36.40844341229288,46.92898199137166,49.966544456639305
IRN,2015,,,,30.910250848022763,28.72456900963183,22.133907100012024,50.74401391934044,47.09744951322462,62.261833511970586,70.577003905682,64.51700193272593
IRQ,2015,0.0,57.069789156522845,75.3439145662627,20.426647821343472,9.099234280677843,0.3819485069373707,92.04624128228342,72.35139541737405,78.167874815261,68.312270588295,86.76374336420638
ISR,2015,,45.61827153453127,74.19310209507118,21.390763832218955,5.541495729054881,16.194692606063725,45.68330412846344,0.0,0.0,2.453984563108814,8.046606500380344
JOR,2015,82.72235474962041,69.04387588558475,81.14180931635528,20.645464420943586,5.082313922660129,0.1697024820754555,46.50745960942223,30.767195361448596,27.912062574200224,31.42361169418332,28.5796036464736
KWT,2015,,40.292222112597244,84.23390944375247,25.663690552541073,12.422875019684223,10.791530832189617,32.49218444868567,34.8738545903586,32.15991309475322,37.44946241053185,46.34956278989802
LBN,2015,,85.40977526504861,60.38193525314745,26.002902986318034,0.0,0.1697024820754555,67.9322409929546,49.68369568257746,57.14310125177507,47.92986975379613,73.12059138072793
LBY,2015,,89.21797677839062,0.0,29.396267155082562,25.039935415463273,16.04182517869103,91.05765035380354,88.5936354197324,86.37773049343373,99.50901588232726,93.86733763744239
LKA,2015,85.95212699873748,58.090752847978756,92.3352920629853,16.26823689108154,13.301689475080888,7.693068039189884,30.845170555939543,39.08337863131638,35.5769373681097,35.70398055157201,49.83906702776984
MAR,2015,,57.62164537441924,85.89516035562629,15.907760361823954,9.39044093463759,30.154151687398233,41.23508345618368,48.365913498006,43.55704020470788,34.83700659496651,50.21437200451656
MDV,2015,,67.43219330646664,95.37725745436065,17.146678900192132,8.320467714831832,0.0,26.000463936382488,48.24480049675594,52.26695763625688,46.215808490103576,58.47509608796335
NPL,2015,,35.61205490029735,71.32192129478703,16.866057291409433,20.557297035448673,9.397933308632995,57.15034640971126,74.74348460967386,50.67262358346144,58.404116744801456,67.01581009982992
OMN,2015,,79.30872713674893,88.08982833358732,14.159106889841262,6.749364374965398,0.1697024820754555,10.86025515819862,39.347708475033286,25.622802961801312,16.458819304584857,37.91878340926511
PAK,2015,,55.746350145059665,90.1449110875467,16.23706778402073,11.109299437748966,3.2341475699069484,97.29793528442269,59.01386990426857,60.430163791212934,57.989899136903865,72.28979480471422
PSE,2015,,79.48779770889419,98.33434328288571,17.528499395842502,9.166970011201455,,77.46168615189087,48.754130705123636,59.0199527522554,40.98222696392092,53.834540080590386
QAT,2015,,38.439315816471066,85.72781862490336,14.8448444520586,9.843715233209275,0.1697024820754555,0.8751811036378448,12.215240535917987,15.605014837650726,12.792116067629165,8.205990133711664
SAU,2015,,68.59189900030442,31.869307449187012,15.100255004878127,8.79730441055839,0.1697024820754555,41.62358263617769,39.21466713928518,40.43686164552338,29.277321333302986,42.80761614997191
SDN,2015,,73.39495031520401,100.0,22.238006872524487,36.55408648551791,9.51559854611764,86.13282629754696,78.44423046919444,78.20804463720053,82.05029148634966,89.82512473230948
SOM,2015,,,,0.0,,18.732577397984826,93.08644534617424,100.0,100.0,100.0,98.56261004824391
SSD,2015,,61.678868448315285,98.66280039728818,55.27134088932767,100.0,41.328793375472806,93.0215748582472,98.03082888294819,84.47808107401002,88.70183621411432,100.0
SYR,2015,,,,38.073644077068245,74.68801723712528,100.0,97.53265939284306,77.09060352563665,83.07656525650917,84.85276353837668,91.57861842134155
TUN,2015,,69.75245358822927,91.573330437697,24.688403923227515,14.485442128130192,29.027719953324848,47.66481711793003,42.03617352801521,35.54540714787373,48.36033564062001,38.36415429871373
TUR,2015,3.2674204884775597,58.55786238881557,87.73878686467283,12.108709522678868,20.206852656963214,45.243067974194105,59.816479187191064,32.15986825109019,46.912861119360514,29.90320814726333,41.59293445313879
YEM,2015,,67.10845497193843,95.562880836627,100.0,,13.940601677538536,100.0,85.93793344962512,79.22803057590886,72.00527271422322,89.98997930413134
AFG,2016,,61.252333440112736,83.34449640433921,49.76604598132137,1.3570070939311694,1.0173629249789948,95.81516053022553,82.25383160289233,79.71612356021001,77.78764857870601,92.3357176392457
ARE,2016,,,,35.09756142136028,0.6305029527615522,0.09938394157578427,11.162276328528993,3.22395122919804,18.021313290957245,4.870497855482468,2.1163791016006694
BGD,2016,,9.529685087969737,89.39834106066513,28.81336523865515,1.6536679044761193,0.1552098179017234,65.38060018585796,57.560671585179726,58.9554859803046,59.80049655084666,75.50999855659671
BHR,2016,65.67659063766193,25.60878268219446,98.50949942938321,43.05399294243231,0.937582196086306,0.09938394157578427,53.87143807595183,30.843323608716734,31.698889207170982,21.14239460103197,42.44556353416182
BTN,2016,100.0,100.0,86.7711735146731,22.93116181970832,1.0513198052258725,0.4954691448005403,0.0,30.340569418041618,15.105006824596328,47.396767253569394,0.0
DJI,2016,,14.098177600817428,97.93477208782822,28.77039005914272,0.8366679018757601,0.09938394157578427,48.47773039020413,62.56394664567782,61.90896761609471,58.4997680713883,63.504108363451515
DZA,2016,,59.71800682788797,67.9365307926442,42.686991376811115,1.8858655611177186,0.8250561898883624,59.59593568886632,54.5064960953481,57.52780836818459,64.7439631296288,61.13974014823219
EGY,2016,,31.55491028611126,94.72742258951442,40.758686931096406,3.8334085129965056,2.6331929940542835,70.66736466009283,54.96781199923628,57.03346033538942,60.03554923314082,54.58750985374346
ERI,2016,,,,,,0.08580803601189624,49.58005252701712,78.04253232013197,81.97780474318158,94.63330705327226,85.16952423819917
ETH,2016,0.0,49.741610105036536,97.74332210505544,18.797154699954195,1.9463826017302792,0.5679098916145287,67.99363511447434,55.97765584108899,55.61495701850393,65.84328621377827,54.203356544185844
