country_code,indicator,year,value
ARE,interest_payments_pct_revenue,2019,0.00201529963006026
ARE,bank_npl_pct_loans,2024,4.13722730162714
ARE,bank_npl_pct_loans,2023,5.30826886216617
ARE,bank_npl_pct_loans,2022,6.55317267111425
ARE,bank_npl_pct_loans,2021,7.28694437688478
ARE,bank_npl_pct_loans,2020,7.57146032262558
ARE,bank_npl_pct_loans,2019,6.02686885240592
ARE,bank_npl_pct_loans,2018,5.25650797811493
ARE,bank_npl_pct_loans,2017,4.99704232082411
ARE,bank_npl_pct_loans,2016,4.79735362210192
ARE,bank_npl_pct_loans,2015,4.74620283630956
ARE,bank_npl_pct_loans,2014,5.31214096469623
ARE,bank_npl_pct_loans,2013,5.85229580988926
ARE,bank_npl_pct_loans,2012,7.12965175228016
ARE,bank_npl_pct_loans,2011,6.08629581295721
ARE,bank_npl_pct_loans,2010,5.26698896173512
ARE,private_credit_pct_gdp,2022,65.4574311816346
ARE,private_credit_pct_gdp,2021,76.167662138751
ARE,private_credit_pct_gdp,2020,88.835691606539
ARE,private_credit_pct_gdp,2019,75.2884970259968
ARE,private_credit_pct_gdp,2018,73.9843078244922
ARE,private_credit_pct_gdp,2017,78.1488923243763
ARE,private_credit_pct_gdp,2016,81.9398449176157
ARE,exports_pct_gdp,2023,106.846123390953
ARE,exports_pct_gdp,2022,102.051988781325
ARE,exports_pct_gdp,2021,100.642599583908
ARE,exports_pct_gdp,2020,98.0724956970145
ARE,exports_pct_gdp,2019,93.3023068879995
ARE,exports_pct_gdp,2018,90.8429799324319
ARE,exports_pct_gdp,2017,94.737385589121
ARE,exports_pct_gdp,2016,94.4747232332881
ARE,exports_pct_gdp,2015,93.8625203312699
ARE,exports_pct_gdp,2014,94.7738651442525
ARE,exports_pct_gdp,2013,95.755207057533
ARE,exports_pct_gdp,2012,95.6008433485867
ARE,exports_pct_gdp,2011,85.6286738245297
ARE,exports_pct_gdp,2010,77.4455521760851
ARE,imports_pct_gdp,2023,92.1988267361531
ARE,imports_pct_gdp,2022,83.689671850569
