country_code,year,debt_to_gdp,current_account_pct_gdp,reserves_months_imports,gdp_growth,inflation,currency_depreciation_pct,political_stability,government_effectiveness,rule_of_law,regulatory_quality,control_of_corruption,bank_npl_pct_loans,exports_pct_gdp,external_debt_pct_gni,external_debt_service_pct_exports,fdi_net_inflows_pct_gdp,fiscal_balance_pct_gdp,food_imports_pct_merch_imports,fuel_exports_pct_merch_exports,imports_pct_gdp,interest_payments_pct_revenue,private_credit_pct_gdp,remittances_pct_gdp,unemployment_rate,sovereign_default,imf_program_entry
ARE,2011,,,,6.73651167897515,0.87734659568512,0.0,6.732558429709378,10.201696935149943,14.262517138874728,9.071127061850303,0.6593685067897199,6.08629581295721,85.6286738245297,,,1.93886244385384,0.0718886358430584,6.51232628789495,53.5351069475687,58.5481559098621,,,,2.587,0,0
BGD,2011,,-0.125842241657654,2.78355229779506,6.46437912497728,11.3951651552399,6.46540435024759,61.96941733715505,63.49107355085226,48.64117769509531,59.63114584586627,78.33706534286569,1.9042059394074,19.9220749554939,19.4870042621521,5.629773751522,0.983399364184761,-0.822744381919415,19.4937925236267,1.15197562004724,27.4987748801959,15.8622555734813,42.4702411629772,9.3859804789798,3.737,0,0
BHR,2011,0.0,10.855340365152,2.34120217230767,1.92815791170796,-0.40004069748808,0.0,55.22743443681133,26.49320733543894,28.03100625195347,8.782878614509295,33.9274961354347,,95.6363487649272,,,2.61026038592024,-0.519062177718191,8.31394176480227,71.8441684413074,71.8932922709265,4.06180432295173,66.9065925077703,,1.21,0,0
BTN,2011,67.67631491770463,-26.6070202039628,6.64779532318253,8.4892584842808,8.848985699468,2.0659109190897755,8.378646550092325,25.39111061014121,21.08371593906488,60.74228714763025,15.517983328662329,3.92487971293095,37.9232018736818,57.4352950866873,11.2068085183067,1.57461513860453,-1.43905802803783,10.9487408218868,1.32603384643971,64.8723983474244,6.43483061712557,43.0834159551712,0.528916540638715,3.23,0,0
DJI,2011,,-13.8678242864019,4.17092204640401,,5.0687139477798,0.0,23.69149283882664,60.225645557994326,53.67693876625528,57.462270278284045,59.620609910178935,,,61.6657905187845,8.68421948523508,6.37538483893525,,,,,,30.9088339588642,2.61145571287155,26.31,0,0
DZA,2011,,8.09495300569721,34.8238177143754,2.99999999941909,4.5242115050527,-1.9467377254540967,61.525839081607046,60.14651857432723,52.718585819297815,68.6893053190634,55.47437559118897,14.3983059633083,35.9880864093259,2.79540714477209,0.790385842536368,1.17767329101171,,22.7921075134347,98.3333229077681,26.2320035517219,,12.5651064123385,0.0929180630893872,9.96,0,0
EGY,2011,,-2.32378812632193,3.28531568230903,1.76457194806041,10.0649259874818,5.529845081329735,67.6761814216683,53.476921019803534,42.865894883035175,41.77906249309132,60.86708224634933,,20.5674276128656,15.3121406993227,7.90655385279539,-0.204542848807527,-10.0824593392167,23.7536654802803,29.2504485443273,24.6882065494858,25.2846525842816,31.1549232899382,6.06988425351907,11.849,0,0
ERI,2011,,,,8.67980010138049,,0.0,48.348829579836966,76.78413600360186,73.6044124634227,90.44085002970472,67.6460573468099,,18.1548372567671,51.4834999754646,,1.8886183675912,,,,29.2389528621013,,17.5647022127032,,5.801,0,0
ETH,2011,,-3.30367964138339,2.87144325080088,11.1782962297008,33.2499598823344,17.277632359371868,63.76492385375896,54.163369587686375,53.153834090192085,60.64685982554796,62.44743510181405,,16.6868531997337,26.9969906653902,5.88919875915745,1.96735663905254,-1.34983977132917,14.3759542950793,1.44284633759849e-05,31.5460822119553,2.58756505223829,,1.68479919300585,2.27,0,0
IND,2011,50.02714532879293,-3.42928468606061,6.18879010347658,5.24131620024293,8.9117933648336,2.0659109190897755,54.94445928895292,41.226142700480544,27.66088173238285,45.279504818865,58.36281121223757,2.67019501469286,24.5404113195713,18.5055609944676,6.4138689129389,2.0020634629993,-3.20649564885787,3.30798828495291,18.7585466086377,31.0834686939585,22.8683894409753,51.2892331325447,3.42826651551382,7.609,0,0
