country_code,year,access_to_electricity_pct,agriculture_pct_gdp,external_debt_private_nonguaranteed_usd,external_debt_public_publicly_guaranteed_usd,external_debt_stock_total_usd,gdp_per_capita_usd,gni_per_capita_atlas_usd,industry_pct_gdp,internet_users_pct,life_expectancy_years,manufacturing_pct_gdp,population,services_pct_gdp,urban_population_pct
AFG,2021,97.7,33.5976188725451,17748000.0,1907966305.2,3555784339.6,356.496214115892,380.0,14.2736570191788,16.51429939,60.417,8.49315681616916,40000412.0,47.160422387969,25.3478620272481
AFG,2022,85.3,33.7014323213923,17748000.0,1859403114.8,3393247241.7,357.261152798144,370.0,16.0503677223963,15.86629963,65.617,10.1902619598408,40578842.0,45.0499087998591,25.3939250580909
AFG,2023,85.3,34.7432471445174,17748000.0,1856685293.3,3428116975.5,413.757894705303,370.0,13.4498227120978,15.92840004,66.035,7.5409168634476,41454761.0,46.3743698691993,25.4730529631167
AFG,2024,87.8,34.2931004992905,17748000.0,1794720843.5,3344095867.1,416.871146273728,390.0,14.5203506635167,16.09499931,66.289,8.41781184357888,42647492.0,45.1614722268607,25.7007352636188
AFG,2025,,,,,,,,,,,,43844111.0,,25.9401644699898
ARE,2010,100.0,0.732325154252682,,,,44795.2846234991,42380.0,50.2592508031343,68.0,81.886,8.09883006159578,6869838.0,49.0084240426132,83.3714299144178
ARE,2011,100.0,0.65018165697003,,,,51921.8890746408,45610.0,55.7509521893027,78.0,81.898,7.85632364319134,7104538.0,43.5988661537274,83.5695007795347
ARE,2012,100.0,0.627730308351473,,,,53141.6251661086,51180.0,55.3564356841858,84.9999915049492,81.913,7.83235383214612,7391448.0,44.0158340074629,83.7643244751488
ARE,2013,100.0,0.631291108343877,,,,53247.2278745159,53780.0,52.9894306306823,88.0,81.95,7.69050880047885,7693031.0,46.379278260974,83.9558135814626
ARE,2014,100.0,0.625619164911727,,,,52725.2307981936,53360.0,50.7402385283328,90.4000107121939,81.99,7.87819425408936,8059440.0,48.6341423067556,84.1438806787019
ARE,2015,100.0,0.716283676441238,,,,44910.3458860776,49990.0,42.1587350173898,90.5,82.076,8.8850255543667,8505237.0,57.1249813061687,84.3284383471193
ARE,2016,100.0,0.740828105142589,,,,42721.1136110991,46180.0,39.8749869565396,90.6000073180483,82.195,9.0412591716862,8935095.0,59.3841849383177,84.5093991669984
ARE,2017,100.0,0.753711714951803,,,,43733.6242018215,42230.0,41.4122326585365,94.8199225383446,82.388,9.13505350559625,9223225.0,57.8340556265115,84.686675718659
ARE,2018,100.0,0.705621193856789,,,,47135.3478795605,44570.0,45.7440553690851,98.4500017817194,82.449,8.72303484298905,9346701.0,53.5503234370583,84.8601805824625
ARE,2019,100.0,0.734600479758574,,,,45938.6084572227,46690.0,43.4669519380736,99.1499979561243,82.596,8.84288272527487,9445785.0,55.7984475821678,85.0298263388195
ARE,2020,100.0,0.96297291257111,,,,37991.738387966,41310.0,40.3215993754054,100.0,81.936,8.99207371569774,9401038.0,58.7154277120232,85.1955255681984
ARE,2021,100.0,0.890366137304479,,,,44118.4936214315,43230.0,45.3811258793331,100.0,79.083,8.7723443499182,9575152.0,53.7285079833623,85.3571908511355
ARE,2022,100.0,0.740907378602023,,,,50759.7590190204,46990.0,49.3332871882473,100.0,80.487,8.54436252357344,10074977.0,49.9258054331506,85.5147347682487
ARE,2023,100.0,0.764071417912981,,,,49850.6945082084,51100.0,45.4007042021104,100.0,82.909,9.45859478112557,10483751.0,53.8352243799769,85.6680699002526
ARE,2024,100.0,0.76944375258092,,,,50273.5126243239,51550.0,44.3292712081948,100.0,83.069,9.37365289381873,10986400.0,54.9012850392245,85.8171088279791
ARE,2025,,,,,,,,,,,,11513149.0,,85.9617641324017
BGD,2010,55.3,17.0011812592919,1075960000.0,21145542685.2,26571755072.0,757.385280361508,780.0,24.9564767264585,3.700000048,68.009,16.1212283592006,152201981.0,53.4982962820487,27.7254372588696
BGD,2011,59.6,16.8099867573503,1454000000.0,22217936348.9,27046084648.2,837.336944695647,870.0,25.0452996007551,4.5,68.499,15.9967342498947,153591076.0,53.045792114203,28.1100162712427
BGD,2012,65.5,16.1775631732753,1789150000.0,24196786408.2,29155976742.1,859.680536375497,950.0,25.3099593902625,5.0,68.989,15.9142206710142,155070101.0,53.1515772385279,28.4787972894576
BGD,2013,61.5,15.4932779975908,2190812000.0,25034676366.2,32454687016.8,958.262989798283,1010.0,26.3070701636507,6.63,69.487,16.4420194729911,156532141.0,53.3901814188466,28.8407036106763
BGD,2014,62.4,15.3516208986344,3108674000.0,26541000314.4,35270692354.7,1094.46199702838,1080.0,26.3110467833576,9.052900314,70.016,16.6127076619157,157964929.0,53.6357543166708,29.1944442321013
BGD,2015,74.0,14.7829964369364,3357630000.0,27169735482.9,38770937144.2,1224.38647668165,1200.0,26.8313948329541,12.36880016,70.543,16.7886735625088,159383179.0,53.7138319423318,29.5395099477892
BGD,2016,75.9,13.4647923176039,3092904000.0,29095257693.1,41569252897.7,1649.28380858601,1400.0,31.0691513830358,16.89909935,71.075,20.3479480962979,160811932.0,51.2078039865767,29.8753915517965
BGD,2017,88.0,12.9572760433733,3395368000.0,35282720722.6,51068283464.6,1811.08221668646,1640.0,31.2482919641603,21.5,71.606,20.0750615064997,162186147.0,51.383900544644,30.2015798381799
BGD,2018,86.9,12.4800771856196,5237873000.0,41321842241.5,57125459320.6,1965.24372731467,2020.0,31.9828135899766,25.56509972,72.122,20.8022959266315,163523103.0,50.890160724185,30.5175656009959
BGD,2019,92.2,11.9753231358984,4900650000.0,46416580489.2,62468325028.8,2129.79896954606,2220.0,32.8525491977868,30.38310051,72.625,21.2079438820896,164913055.0,50.8492887427224,30.8228396343012
BGD,2020,96.2,11.9996868602485,5625101000.0,54830387715.7,73550857817.1,2248.85078828233,2320.0,32.9115650824449,36.10910034,71.421,20.5983315908994,166298024.0,51.5113093348259,31.1168927321524
BGD,2021,99.0,11.6328584271282,7614890000.0,62473497623.7,91477590071.6,2482.84917843357,2600.0,33.3160943869001,38.91744466,71.103,21.2356729879977,167658854.0,51.3015069352743,31.3992156886061
BGD,2022,99.4,11.2176010351595,7892419000.0,67541257286.6,96944431751.0,2716.48592780431,2850.0,33.9200804971876,41.61650085,74.265,21.7648193612213,169384897.0,51.0380826788136,31.673734726234
BGD,2023,99.5,11.0036900209598,9153010000.0,74054538879.0,101370771740.3,2551.01773827307,2880.0,34.5942721606063,44.50274195,74.672,22.3420188692022,171466990.0,51.1119129405073,32.1578465036834
BGD,2024,99.5,11.1648014276903,9292928000.0,77581679615.2,104486886261.1,2593.41611680774,2820.0,34.0971743458877,53.42171316,74.93,21.8929603584194,173562364.0,51.4166555046575,32.6783196323307
BGD,2025,,11.4240222467121,,,,2597.34352335275,2840.0,34.0275541755359,,,22.441399081658,175686899.0,52.1348168391294,33.2395847043975
