reporter_code,flow,year,hs2_code,value_usd
DZA,X,2024,08,89064595.893
DZA,X,2024,09,260757.795
DZA,X,2024,10,63.406
DZA,X,2024,11,537923.464
DZA,X,2024,12,13989417.273
DZA,X,2024,13,14159.646
DZA,X,2024,14,89.51
DZA,X,2024,15,10639451.543
DZA,X,2024,16,481787.763
DZA,X,2024,17,85029512.39
DZA,X,2024,18,6335798.474
DZA,X,2024,19,17054226.745
DZA,X,2024,20,5487713.314
DZA,X,2024,21,3935372.004
DZA,X,2024,22,27798864.857
DZA,X,2024,23,1384819.813
DZA,X,2024,24,22443.024
DZA,X,2024,25,520496114.913
DZA,X,2024,26,14534286.59
DZA,X,2024,27,48297902481.559
DZA,X,2024,28,596872587.7
DZA,X,2024,29,41376595.662
DZA,X,2024,30,19598638.407
DZA,X,2024,31,941683755.639
DZA,X,2024,32,910974.684
DZA,X,2024,33,2506651.516
DZA,X,2024,34,2583515.37
DZA,X,2024,35,17266.868
DZA,X,2024,36,154.049
DZA,X,2024,37,7.811
DZA,X,2024,38,2948786.16
DZA,X,2024,39,42852161.389
DZA,X,2024,40,8426936.977
DZA,X,2024,41,1283774.967
DZA,X,2024,42,171253.72
DZA,X,2024,44,2739321.03
DZA,X,2024,45,9836009.186
DZA,X,2024,46,1116.549
DZA,X,2024,47,15157628.299
DZA,X,2024,48,51935768.932
DZA,X,2024,49,106685.694
DZA,X,2024,51,2354395.986
DZA,X,2024,52,4734072.056
DZA,X,2024,53,74.962
DZA,X,2024,54,1392861.856
DZA,X,2024,55,5406098.784
DZA,X,2024,56,299414.335
DZA,X,2024,57,2411350.999
DZA,X,2024,58,563.564
DZA,X,2024,59,5455.054
DZA,X,2024,60,90.882
DZA,X,2024,61,384323.216
DZA,X,2024,62,29440.026
DZA,X,2024,63,438578.418
DZA,X,2024,64,51170.883
DZA,X,2024,65,419.392
DZA,X,2024,66,1.044
DZA,X,2024,67,24.373
DZA,X,2024,68,10124937.199
DZA,X,2024,69,7049318.236
DZA,X,2024,70,60094831.306
DZA,X,2024,71,223.729
DZA,X,2024,72,701722631.892
DZA,X,2024,73,38965984.269
DZA,X,2024,74,20403232.452
DZA,X,2024,75,1459.883
DZA,X,2024,76,6042210.913
DZA,X,2024,78,4000107.112
DZA,X,2024,79,1660947.013
DZA,X,2024,81,8418.023
DZA,X,2024,82,1135607.691
DZA,X,2024,83,105292.328
DZA,X,2024,84,69596956.907
DZA,X,2024,85,38277965.731
DZA,X,2024,87,467988.491
DZA,X,2024,88,13715147.892
DZA,X,2024,90,1568676.132
DZA,X,2024,91,10.847
DZA,X,2024,94,4171284.199
DZA,X,2024,95,22738.634
DZA,X,2024,96,6030483.118
DZA,X,2024,97,3258.251
BHR,M,2024,68,76649469.554
BHR,M,2024,26,1617103534.446
BHR,M,2024,70,80012245.661
BHR,M,2024,25,133649816.349
BHR,M,2024,28,1586485440.842
BHR,M,2024,29,67862202.56
BHR,M,2024,71,635946542.162
BHR,M,2024,82,29367481.866
BHR,M,2024,76,199622002.784
BHR,M,2024,39,395873815.711
BHR,M,2024,64,97297501.433
BHR,M,2024,35,15310852.081
BHR,M,2024,73,339323660.085
BHR,M,2024,34,95792490.094
BHR,M,2024,52,19601447.201
BHR,M,2024,74,145102906.846
BHR,M,2024,72,207940484.049
BHR,M,2024,40,124055582.575
BHR,M,2024,27,404907418.397
BHR,M,2024,91,146956564.846
BHR,M,2024,95,41676693.091
BHR,M,2024,94,215032958.07
BHR,M,2024,63,26589545.664
BHR,M,2024,19,161072874.244
BHR,M,2024,90,229501321.137
BHR,M,2024,62,149911451.14
BHR,M,2024,56,13117434.641
BHR,M,2024,87,1429930238.685
BHR,M,2024,07,148797585.106
BHR,M,2024,85,1177696237.537
BHR,M,2024,09,65136217.302
BHR,M,2024,61,156208656.706
BHR,M,2024,38,132705920.448
BHR,M,2024,17,96140986.729
BHR,M,2024,12,15312343.836
BHR,M,2024,49,54145478.479
BHR,M,2024,44,98251805.499
BHR,M,2024,48,138117991.633
BHR,M,2024,84,1716494744.729
BHR,M,2024,32,80419840.633
BHR,M,2024,15,94238477.054
BHR,M,2024,33,186698569.597
BHR,M,2024,79,5858320.541
BHR,M,2024,03,51721931.359
BHR,M,2024,06,10718053.505
BHR,M,2024,10,133256125.26
BHR,M,2024,75,2750881.641
BHR,M,2024,54,9044660.185
BHR,M,2024,81,28422130.313
BHR,M,2024,65,6016436.232
BHR,M,2024,58,3119391.028
BHR,M,2024,37,2093188.637
BHR,M,2024,67,2337728.424
BHR,M,2024,22,140914398.002
BHR,M,2024,66,737894.2
BHR,M,2024,13,5811173.759
BHR,M,2024,99,57044036.422
BHR,M,2024,96,50164033.066
BHR,M,2024,78,176395.053
BHR,M,2024,88,39173489.721
BHR,M,2024,24,87219123.644
BHR,M,2024,60,2461244.461
BHR,M,2024,21,161422719.137
BHR,M,2024,41,603651.647
BHR,M,2024,97,3858545.706
BHR,M,2024,23,30312607.993
BHR,M,2024,50,882291.886
BHR,M,2024,30,464255016.727
BHR,M,2024,57,22366410.863
BHR,M,2024,59,9097819.547
BHR,M,2024,47,13624344.108
BHR,M,2024,05,141217.287
BHR,M,2024,86,2060433.531
BHR,M,2024,04,388068288.475
BHR,M,2024,14,208964.627
BHR,M,2024,31,2505184.647
BHR,M,2024,83,61308201.782
BHR,M,2024,69,80481658.213
BHR,M,2024,43,261799.467
BHR,M,2024,89,13744423.602
BHR,M,2024,02,302514042.245
BHR,M,2024,46,2450997.891
BHR,M,2024,11,20703765.921
BHR,M,2024,55,9607740.184
BHR,M,2024,45,439160.318
BHR,M,2024,08,201689827.616
BHR,M,2024,42,81444606.189
BHR,M,2024,01,28017127.495
BHR,M,2024,16,66327073.096
BHR,M,2024,53,853340.583
BHR,M,2024,51,533718.19
BHR,M,2024,20,96855467.684
BHR,M,2024,80,525648.615
BHR,M,2024,36,2321163.504
BHR,M,2024,93,173133.909
BHR,M,2024,18,58856170.087
BHR,M,2024,92,1410762.15
BHR,X,2024,76,4900845338.745
BHR,X,2024,09,14561219.77
BHR,X,2024,75,2378832.519
BHR,X,2024,32,13708941.288
BHR,X,2024,20,12671802.834
BHR,X,2024,11,672035.211
BHR,X,2024,84,793323252.136
BHR,X,2024,85,226856409.231
BHR,X,2024,57,449428.882
BHR,X,2024,70,129115880.06
BHR,X,2024,63,65899037.858
BHR,X,2024,72,501114421.774
BHR,X,2024,51,773.271
BHR,X,2024,45,152636.356
BHR,X,2024,19,189957961.923
BHR,X,2024,61,19492237.6
BHR,X,2024,43,1884.681
BHR,X,2024,33,53959839.889
BHR,X,2024,86,10643511.271
BHR,X,2024,06,9024.308
BHR,X,2024,36,7549848.408
BHR,X,2024,26,1777257096.352
BHR,X,2024,21,104272662.343
BHR,X,2024,64,6617058.384
BHR,X,2024,58,148665.239
BHR,X,2024,69,5265630.995
BHR,X,2024,66,25920.984
BHR,X,2024,88,64308623.687
BHR,X,2024,46,213245.957
