reporter_code,flow,year,partner_comtrade_code,partner_code,value_usd
IND,X,2025,466,,138496915.055
IND,X,2025,470,,393362397.681
IND,X,2025,478,,154993524.759
IND,X,2025,480,,465451408.536
IND,X,2025,484,,5556292720.206
IND,X,2025,490,,1904011613.49
IND,X,2025,496,,32914167.969
IND,X,2025,498,,11449500.687
IND,X,2025,499,,63031508.701
IND,X,2025,500,,109547.94
IND,X,2025,504,MAR,1054400731.942
IND,X,2025,508,,1356739694.373
IND,X,2025,512,OMN,4281773514.647
IND,X,2025,516,,525924824.245
IND,X,2025,520,,21347.569
IND,X,2025,524,NPL,7450105545.464
IND,X,2025,528,,19056821154.774
IND,X,2025,531,,28720335.077
IND,X,2025,533,,12238680.615
IND,X,2025,534,,161615.727
IND,X,2025,540,,6829418.457
IND,X,2025,548,,4253905.033
IND,X,2025,554,,650730281.97
IND,X,2025,558,,165636868.94
IND,X,2025,562,,92544339.225
IND,X,2025,566,,3161168455.24
IND,X,2025,574,,959487.209
IND,X,2025,579,,439068337.806
IND,X,2025,580,,121521.819
IND,X,2025,581,,575189.644
IND,X,2025,583,,457115.987
IND,X,2025,584,,476402.135
IND,X,2025,585,,267091.692
IND,X,2025,586,PAK,352265385.362
IND,X,2025,591,,305780396.734
IND,X,2025,598,,73044191.639
IND,X,2025,600,,176004762.363
IND,X,2025,604,,1114011522.91
IND,X,2025,608,,2291540456.626
IND,X,2025,612,,4609.879
IND,X,2025,616,,2762715181.699
IND,X,2025,620,,952142119.599
IND,X,2025,624,,18165098.986
IND,X,2025,626,,46907637.311
IND,X,2025,634,QAT,1739761988.287
IND,X,2025,642,,1072057221.502
IND,X,2025,643,,4494754093.005
IND,X,2025,646,,105660518.361
IND,X,2025,654,,5565.262
IND,X,2025,659,,5327962.551
IND,X,2025,660,,401682.121
IND,X,2025,662,,9049290.132
IND,X,2025,670,,3121703.207
IND,X,2025,674,,2360752.493
IND,X,2025,678,,825350.051
IND,X,2025,682,SAU,10790222950.009
IND,X,2025,686,,1067651731.995
IND,X,2025,688,,121384206.663
IND,X,2025,690,,199472251.557
IND,X,2025,694,,395544666.468
IND,X,2025,702,,10733328833.861
IND,X,2025,703,,301897886.79
IND,X,2025,704,,6056801255.195
IND,X,2025,705,,755371121.364
IND,X,2025,706,SOM,793456061.501
IND,X,2025,710,,6992319195.146
IND,X,2025,716,,173561488.734
IND,X,2025,724,,6600998183.37
IND,X,2025,728,SSD,30882508.755
IND,X,2025,729,SDN,884983140.152
IND,X,2025,732,,3589.326
IND,X,2025,740,,30051544.315
IND,X,2025,748,,10964289.857
IND,X,2025,752,,1359154354.359
IND,X,2025,757,,1228072513.054
IND,X,2025,760,SYR,82540767.52
IND,X,2025,762,,57825016.346
IND,X,2025,764,,5062533595.111
IND,X,2025,768,,2603010681.055
IND,X,2025,772,,101653.361
IND,X,2025,776,,1659859.423
IND,X,2025,780,,140195944.98
IND,X,2025,784,ARE,38666438796.675
IND,X,2025,788,TUN,399206363.046
IND,X,2025,792,TUR,4677906415.935
IND,X,2025,795,,88311045.879
IND,X,2025,796,,1475367.82
IND,X,2025,798,,39362.054
IND,X,2025,800,,421809957.653
IND,X,2025,804,,218485139.797
IND,X,2025,807,,34320670.298
IND,X,2025,818,EGY,3970062405.944
IND,X,2025,826,,13768075173.801
IND,X,2025,834,,5021725623.699
IND,X,2025,842,,92570077496.315
IND,X,2025,854,,144589443.892
IND,X,2025,858,,225785390.368
IND,X,2025,860,,644764617.287
IND,X,2025,862,,218629587.305
IND,X,2025,876,,7006.731
IND,X,2025,882,,1332941.475
IND,X,2025,887,YEM,831627748.54
IND,X,2025,894,,218348039.225
IND,X,2025,899,,4154009048.564
TUR,M,2025,4,AFG,59756913.0
