country_code,year,bank_npl_pct_loans,exports_pct_gdp,external_debt_pct_gni,external_debt_service_pct_exports,fdi_net_inflows_pct_gdp,fiscal_balance_pct_gdp,food_imports_pct_merch_imports,fuel_exports_pct_merch_exports,imports_pct_gdp,interest_payments_pct_revenue,private_credit_pct_gdp,remittances_pct_gdp,unemployment_rate
ETH,2011,,16.6868531997337,26.9969906653902,5.88919875915745,1.96735663905254,-1.34983977132917,14.3759542950793,1.44284633759849e-05,31.5460822119553,2.58756505223829,,1.68479919300585,2.27
ETH,2012,,13.7672981990263,24.2166657612452,7.1428932989006,0.643172898229037,0.679089858634853,10.9430232166,0.00477153174932123,31.630605984481,2.88934851971598,,1.44158455346166,2.252
ETH,2013,,12.484073558977,26.4725857260442,10.679035983358,2.82040845857162,-1.54263849758058,12.530803211071,0.00120079987025877,28.9877135217855,2.82906963683556,,1.74829264852672,2.251
ETH,2014,,11.6416199095703,30.5557352254075,11.870058525757,3.33569111068815,-2.6690901624725,8.95942983607244,0.0463693412234373,29.0994642402923,3.0107267564388,,3.23018487802697,2.361
ETH,2015,,9.36331359735926,31.7812582331685,18.2926128660911,4.22926466080082,-3.12338797018885,9.77249762984108,8.43578426363285e-07,30.2928105475922,3.68542422150921,,1.75028490068647,2.442
ETH,2016,,7.8120625822914,31.5941088728904,20.9349904391639,6.0502150951561,-3.67155655295525,13.1176685714478,0.00792917271878003,27.0869584993198,4.12609738010937,,1.1277489909273,2.556
ETH,2017,3.41286431945902,7.62937471525016,32.195990368417,22.2353979988408,5.26039764214773,-4.61838856890189,12.3849513836437,0.00174724528051893,23.4742747776515,4.59660538983931,,0.515122893440316,2.665
ETH,2018,3.56052322049913,8.37267815589761,35.572601682596,21.4915673746629,4.03228222144798,-4.04308562183414,15.0551986612583,8.76209733929005e-06,22.8266908218905,4.96155789432289,,0.523561857784221,2.811
ETH,2019,2.6717358210858,7.93996502525176,31.8677861051946,28.9364069267454,2.77536541538477,-2.74966753001203,12.1948705346236,0.000100158271942029,20.8753289040091,5.16530662612295,,0.52227003564586,2.928
ETH,2020,3.42977187734718,7.12719989764702,30.2340278652052,26.1117055633717,2.4279259279615,-1.82272506857345,18.3984132423039,0.00466762968720468,16.8789144437579,4.48992148221099,,0.409506869488673,3.998
ETH,2021,5.41485933762582,7.63170919167145,28.9101982304795,21.2158220927836,3.90520609775086,-2.71360871083777,28.1676089683881,6.92693626282324e-05,16.7133482738948,7.63586966162924,,0.410418210796157,3.935
ETH,2022,,8.24396037766464,24.2638688064282,18.3033612266851,2.98033315911234,-3.97933886335177,23.8028758749573,0.0081728528551792,18.351539318761,12.7921843780186,,0.414325120261523,3.386
ETH,2023,,6.59591829052029,,14.3397323570812,2.40146315356828,-2.3050304723308,13.8401468775133,0.0317976469871324,14.0022832166203,10.0247947838628,,0.396956017593763,3.375
ETH,2024,,5.53927082166771,,11.538041500051,2.68582028017543,-1.90887263147621,,,11.8611650370138,12.6217765676881,,4.766710838993,3.357
ETH,2025,,13.2837545839474,,,,,,,20.176028072184,,,,3.323
IND,2010,,22.4009332487945,17.520327243228,6.81923327447653,1.6350340943491,-3.48058118972693,3.5188131716977,17.2296552495647,26.8542732486216,22.8257875283649,50.5553749785224,3.19166058450459,7.631
IND,2011,2.67019501469286,24.5404113195713,18.5055609944676,6.4138689129389,2.0020634629993,-3.20649564885787,3.30798828495291,18.7585466086377,31.0834686939585,22.8683894409753,51.2892331325447,3.42826651551382,7.609
