country_code,year,control_of_corruption,currency_depreciation_pct,current_account_pct_gdp,debt_to_gdp,exports_pct_gdp,fdi_net_inflows_pct_gdp,gdp_current_usd,gdp_growth,gdp_per_capita_usd,gini_index,government_effectiveness,imports_pct_gdp,inflation,official_exchange_rate_lcu_usd,political_stability,regulatory_quality,reserves_months_imports,rule_of_law,total_reserves_usd,unemployment_rate,youth_unemployment_rate
LBY,2011,-1.250864,-3.3657461194956637,6.62746278785412,,38.1458963988027,,48169263294.1007,-50.3385151384986,7593.8391525702,,-1.28253939999999,24.8595388907261,15.5184815317562,1.22415249460346,-1.6341249,-1.4491899,79.2372182724926,-1.19040979999999,110538560730.736,19.504,50.372
LBY,2012,-1.1136811,3.0639273927656823,25.7575733312092,,66.8678568492024,1.53985903839829,92540938129.1315,86.8267484395784,14975.8902795144,,-1.3979031,31.3564620676424,6.05980392156855,1.26165963821484,-1.5745603,-1.34726909999999,40.5251370265739,-1.0379947,124647554175.811,19.03,49.879
LBY,2013,-1.2916518,0.7951576319818564,0.0127403569483039,,59.8886075843687,0.931638601844643,75351107029.0605,-17.9979615745681,11951.7134126011,,-1.3728325,46.4457533337369,2.60581802719517,1.27169182111774,-1.9032456,-1.5750015,31.6920933071623,-1.39483849999999,119714241460.03,19.311,50.576
LBY,2014,-1.475239,0.0558504866781211,-33.1750366593745,,32.2383210024013,,57372355592.022,-23.0428058282215,8926.42074591474,,-1.5663079,44.2865616357103,2.43294141599233,1.27240206718888,-2.26526939999999,-1.94609029999999,28.693877908734,-1.59536189999999,93615450486.7895,19.295,50.68
LBY,2015,-1.59599119999999,8.55136872518128,-19.1840709119308,,22.2273741215145,,48717501321.3052,-0.842656252118843,7458.48917756374,,-1.6501127,34.6775332111739,10.4022933588151,1.38120985962103,-2.2100778,-2.0211489,43.247784057415,-1.75455909999999,77649594284.0862,19.69,51.538
LBY,2016,-1.59775319999999,0.663101208951184,-9.42697758493981,,14.5778875500388,,49912073701.298,-1.4909411172622,7525.80299308216,,-1.666709,26.5322885114747,25.853874212446,1.39036867889833,-2.2576529,-2.1039014,69.9832418244537,-1.6960655,70191441968.8814,19.559,51.378
LBY,2017,-1.6097899,0.2482314207411934,6.59107791644499,,27.1972557138798,,67157452181.7738,32.4918021862688,9965.83236729757,,-1.5287142,20.3517104782416,25.8036184788337,1.3938200108235,-2.29431519999999,-1.9779852,58.5789163487404,-1.6097257,79417877682.1686,19.053,50.471
LBY,2018,-1.51601339999999,-2.0700911116768044,14.7041123833162,,39.6135044170514,,76686029772.1483,7.9413678529104,11196.5854810844,,-1.55155319999999,24.1676291797669,13.1702038536722,1.36496666666667,-2.28391459999999,-2.0627355,50.6235223615429,-1.5684814,85335649782.1665,18.865,50.136
LBY,2019,-1.5465395,2.439343869394355,6.95550505080755,,42.35532240076,,69254496471.6938,-11.1960828853386,9963.19489084483,,-1.5537488,36.6386467842538,-2.16217883470591,1.39826289736928,-2.25895969999999,-2.0416816,38.0566102989733,-1.6213786,84663589516.8684,19.087,50.569
LBY,2020,-1.5214215,-0.6862953971448758,-10.2022684905863,,20.3637900560977,,46854285440.642,-29.4552967282824,6650.33810585348,,-1.6327551,30.6120033812341,1.44703656998741,1.38866668346465,-2.2231779,-1.9895714,65.1528587636198,-1.6334673,79656428064.8913,19.651,53.562
LBY,2021,-1.5502152,225.0906105658666,16.1147728474926,,92.0546075514658,1.71219284038518,35217995647.2862,28.2996823429147,4935.82787349801,,-1.4589466,72.2294624156388,2.86833027751015,4.514425,-2.2069296,-1.9018167,36.8142587224759,-1.56279409999999,82262074686.351,19.779,52.086
LBY,2022,-1.5332986,6.617675562225534,22.2155432064068,,91.9809235078212,1.62326033379453,43246297921.8499,-8.29981811198795,5986.63694851258,,-1.56371599999999,64.3407611745263,4.51030149235695,4.813175,-2.00397249999999,-1.90307039999999,35.1475070072353,-1.7431898,86683417844.2693,19.238,50.841
LBY,2023,-1.5426693,-0.0060597561206555,4.23506448409627,,85.6010032090609,1.80500147243983,44027664915.187,10.2000497852517,6026.51518708812,,-1.447749,75.4692294006607,2.3731753143518,4.81288333333334,-2.0418754,-1.82178479999999,31.5696640862316,-1.66847289999999,92427294786.8624,18.713,49.864
LBY,2024,-1.5315957,0.4015264584983457,,,71.7293179684166,,48487151215.345,1.89995052025442,6569.16408678648,,-1.41948799999999,65.7818127187367,2.12615766885021,4.83220833333333,-1.8964767,-1.7391073,,-1.6980126,92893708178.1604,19.085,50.586
LBY,2025,,9.733817354039235,,,71.7134746269549,,48098909613.6316,13.3717080516958,6448.82415074121,,,65.9450985743532,1.84166666666702,5.30256666666666,,,,,104656885592.809,18.758,50.057
LKA,2010,-0.2614436,,-1.83339431574737,69.2530251841062,,0.814446067583227,58636049581.1712,8.01596737040464,2808.36245207687,,-0.185523,,6.2176488930462,113.064480448821,-0.779023999999999,-0.0753803,5.34354431776972,-0.2305758,7195358507.00001,4.784,18.684
LKA,2011,-0.2480769,-2.2104843072765976,-6.81209765681019,68.5257394060365,,1.41088360151362,67753285882.299,8.66948301160571,3224.95745082305,,-0.1636119,,6.7167684358854,110.565207851396,-0.7674257,0.0210493,3.46079601554795,-0.2864777,6739196545.08981,4.118,16.758
LKA,2012,-0.3066483,15.410042622371714,-5.69099820826854,66.747235367261,,1.33591734742632,70447216891.3366,8.6321813769906,3327.77612404326,38.7,-0.1739743,,7.54291373239437,127.60335350681,-0.9606693,0.0071890999999999,3.68897815263594,-0.1436392,7106460348.66884,3.88,16.795
LKA,2013,-0.3103438,1.1486198330985051,-3.30046822137757,68.353616559854,,1.21148000059153,76976204074.978,4.0517463303875,3739.43182292825,,-0.1437062,,6.90845034828452,129.069030932888,-0.8585581,-0.0763977,3.84760389405601,-0.3561281,7500000871.53903,4.186,17.939
